accountsservice 0.6.54+2+g204a4ab-1
python-dbus-common 1.2.8-2
python-docopt 0.6.2-5
python-gobject 3.30.2-1
python-keyutils 0.5-3
python-npyscreen 4.10.5-2
python-pexpect 4.6.0-2
python-ptyprocess 0.6.0-2
python-xdg 0.26-2
python-yaml 3.13-2
python2 2.7.15-2
python2-cairo 1.17.0-2
python2-dbus 1.2.8-2
python2-gobject 3.30.2-1
python2-gobject2 2.28.7-2
python2-psutil 5.4.7-1
python2-pyparted 3.11.1-3
python2-xapp 1.4.0-1
python2-xdg 0.26-2
qpdfview 0.4.17beta1-7
qt5-base 5.11.2-3
qt5-script 5.11.2-1
qt5-svg 5.11.2-1
ranger 1.9.2-0
raptor 2.0.15-10
rasqal 1:0.9.33-2
re2 20181001-1
readline 7.0.005-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rofi 1.5.1-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rubberband 1.8.2-1
run-parts 4.8.6-1
s-nail 14.9.11-1
scrot 0.8.18-1
sdl2 2.0.9-1
sed 4.5-1
shadow 4.6-1
shared-mime-info 1.10-1
skippy-xd 2016.10.20.r0.g72d1ddf-1
slang 2.3.2-1
smbclient 4.8.5-1
smplayer 18.10.0-1
smplayer-skins 1:15.2.0-2
smplayer-themes 1:18.6.0-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
spectre-meltdown-checker 0.37-1
speex 1.2.0-1
speexdsp 1.2rc3-3
sqlite 3.25.3-1
st-manjaro 1:0.8.1.r3.g041912a-1
startup-notification 0.12-5
sudo 1.8.25.p1-1
suitesparse 5.3.0-1
sylpheed 3.7.0-2
sysfsutils 2.1.0-10
systemd 239.6-1
systemd-sysvcompat 239.6-1
taglib 1.11.1-1
talloc 2.1.14-1
tar 1.30-2
tdb 1.3.16-1
terminus-font 4.46-1.1
termite 14-1
termite-terminfo 14-1
testdisk 7.0-5
tevent 1:0.9.37-1
texinfo 6.5-2
thin-provisioning-tools 0.7.6-1
thunar-archive-plugin-gtk3 0.4.0-1
thunar-gtk3 1.8.2-4
thunar-media-tags-plugin 0.3.0-1
thunar-volman-gtk3 0.9.0-1
timeshift 18.9-1
tint2 16.6.1-1
tlp 1.1-1.0
traceroute 2.1.0-2
tslib 1.17-1
ttf-dejavu 2.37-2
ttf-font-awesome 5.5.0-1
ttf-font-logos 0.10-4
ttf-icomoon-icons 1.0-1
ttf-material-icons r124.224895a86-1
ttf-polybar-icons 1.0-1
ttf-roboto 2.138-1
tumbler 0.2.3-1
tzdata 2018g-1
uchardet 0.0.6-1
udiskie 1.7.5-2
udisks2 2.8.1-1
unace 2.5-10
unarchiver 1.10.1-5
unarj 2.63a-5
unrar 1:5.6.8-1
unzip 6.0-13
usbmuxd 1.1.0+48+g1cc8b34-1
usbutils 010-1
util-linux 2.33-2
v4l-utils 1.16.1-1
v86d 0.1.10-5.1
vamp-plugin-sdk 2.7.1-2
vi 1:070224-3
vid.stab 1.1-2
viewnior 1.7-1
volume_key 0.3.11-2
vte-common 0.54.2-1
vte3 0.54.2-1
vulkan-icd-loader 1.1.85+2969+5abee6173-1
wayland 1.16.0-1
wayland-protocols 1.16-1
webkit2gtk 2.22.3-1
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-3
whois 5.3.2-2
wireless-regdb 2018.05.31-2
wireless_tools 30.pre9-2
wmctrl 1.07-5
woff2 1.0.2-1
wpa_supplicant 1:2.6-12
x264 2:155.r0a84d986-2
x265 2.9-1
xapps 1.4.1-1
xbitmaps 1.1.2-1
xcape 1.2-3
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xcmenu 20140816.23-1
xcursor-breeze 5.11.5-1
xdg-user-dirs 0.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.3-3
xdotool 3.20160805.1-1
xed 1.8.3-1
xf86-input-libinput 0.28.1-1
xfburn 0.5.5-1
xfce4-settings-gtk3 4.13.5-5
xfconf-gtk3 4.13.6-1
xfsprogs 4.18.0-1
xkeyboard-config 2.25-1
xmlsec 1.2.27-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.4-5
xorg-luit 1.1.1-3
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.3-1
xorg-server-common 1.20.3-1
xorg-setxkbmap 1.3.1-2
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-2
xorg-xkbcomp 1.4.2-1
xorg-xkill 1.0.5-1
xorg-xmodmap 1.0.9-2
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorgproto 2018.4-1
xterm 337-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yaourt 1.9-2
yay 8.1173.0-2
zenity 3.30.0-1
zeromq 4.2.5-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zsh 5.6.2-1
zsh-autosuggestions 0.4.3-1
zsh-completions 0.29.0-1
zsh-history-substring-search 1.0.1-2
zsh-syntax-highlighting 0.6.0-1
zstd 1.3.7-1
